"title","page_url","lastmod","retrieval_ok"
"Anarchy Buff System","https://wiki.entropia.top/systems/anarchy-buff-system","2024-03-08T00:44:46.800Z","yes"
"Auto Power-Ups","https://wiki.entropia.top/systems/auto-power-ups","2024-03-08T00:43:35.628Z","yes"
"Auto Shout","https://wiki.entropia.top/systems/auto-shout","2024-03-08T00:43:35.304Z","yes"
"Awake Window","https://wiki.entropia.top/systems/awake-window","2024-03-09T14:28:58.047Z","yes"
"Black Market","https://wiki.entropia.top/systems/black-market","2024-03-08T00:48:33.895Z","yes"
"Serverside Black Market","https://wiki.entropia.top/systems/black-market/serverside-black-market","2024-03-08T00:52:00.072Z","yes"
"Playerside Black Market","https://wiki.entropia.top/systems/black-market/playerside-black-market","2024-03-08T00:55:55.491Z","yes"
"Box Preview System","https://wiki.entropia.top/systems/box-preview-system","2024-03-08T00:59:17.921Z","yes"
"Counter System","https://wiki.entropia.top/systems/counter-system","2024-12-16T10:03:14.712Z","yes"
"Damage Meter","https://wiki.entropia.top/systems/damage-meter","2024-03-08T01:04:02.844Z","yes"
"Diamond System","https://wiki.entropia.top/systems/diamond-system","2024-03-09T14:33:35.314Z","yes"
"Dungeon Entries","https://wiki.entropia.top/systems/dungeon-entries","2024-03-09T15:02:17.408Z","yes"
"Dungeon Ranking Rewards","https://wiki.entropia.top/systems/dungeon-ranking-rewards","2024-03-09T15:05:12.639Z","yes"
"Aminus Dungeon","https://wiki.entropia.top/systems/dungeon-ranking-rewards/aminus-dungeon","2024-03-09T15:23:21.145Z","yes"
"Cursed Aminus Dungeon","https://wiki.entropia.top/systems/dungeon-ranking-rewards/cursed-aminus-dungeon","2024-03-09T15:23:21.206Z","yes"
"Catacombs of Anguish","https://wiki.entropia.top/systems/dungeon-ranking-rewards/catacombs-of-anguish","2024-03-09T15:23:21.153Z","yes"
"The Savage Wilds","https://wiki.entropia.top/systems/dungeon-ranking-rewards/the-savage-wilds","2024-03-09T15:23:21.086Z","yes"
"The Wilds","https://wiki.entropia.top/systems/dungeon-ranking-rewards/the-wilds","2024-03-09T15:23:21.149Z","yes"
"Ankou (Normal)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/ankou-normal","2024-03-09T15:23:20.998Z","yes"
"Ankou (Heroic)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/ankou-heroic","2024-03-09T15:23:21.081Z","yes"
"Kalgas Cave (Normal)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/kalgas-cave-normal","2024-03-09T15:23:20.911Z","yes"
"Kalgas Cave (Heroic)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/kalgas-cave-heroic","2024-03-09T15:23:20.654Z","yes"
"Abyssal Cove","https://wiki.entropia.top/systems/dungeon-ranking-rewards/abyssal-cove","2024-03-09T15:23:22.202Z","yes"
"Les Britannia","https://wiki.entropia.top/systems/dungeon-ranking-rewards/les-britannia","2024-03-09T15:23:20.691Z","yes"
"Magma Cave of Kebaria (Normal)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/magma-cave-of-kebaria-normal","2024-03-09T15:23:20.632Z","yes"
"Magma Cave of Kebaria (Heroic)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/magma-cave-of-kebaria-heroic","2024-03-09T15:23:20.877Z","yes"
"Temple of Aurania (Normal)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/temple-of-aurania-normal","2024-03-09T15:23:20.726Z","yes"
"Temple of Aurania (Heroic)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/temple-of-aurania-heroic","2024-03-09T15:23:20.674Z","yes"
"Premium Dungeon","https://wiki.entropia.top/systems/dungeon-ranking-rewards/premium-dungeon","2024-03-09T15:23:22.202Z","yes"
"Underwater World","https://wiki.entropia.top/systems/dungeon-ranking-rewards/underwater-world","2024-03-09T15:23:20.676Z","yes"
"Mystic Valley","https://wiki.entropia.top/systems/dungeon-ranking-rewards/mystic-valley","2024-03-09T15:22:15.514Z","yes"
"Dark Forest","https://wiki.entropia.top/systems/dungeon-ranking-rewards/dark-forest","2024-03-09T15:22:16.642Z","yes"
"Crystal Cave","https://wiki.entropia.top/systems/dungeon-ranking-rewards/crystal-cave","2024-03-09T15:22:15.410Z","yes"
"Rhisis Trail","https://wiki.entropia.top/systems/dungeon-ranking-rewards/rhisis-trail","2024-03-09T15:22:15.414Z","yes"
"Ethral Garden","https://wiki.entropia.top/systems/dungeon-ranking-rewards/ethral-garden","2024-03-09T15:22:15.665Z","yes"
"Trigrem Ruins","https://wiki.entropia.top/systems/dungeon-ranking-rewards/trigrem-ruins","2024-03-09T15:22:15.501Z","yes"
"Gaia Forest","https://wiki.entropia.top/systems/dungeon-ranking-rewards/gaia-forest","2024-03-09T15:22:16.642Z","yes"
"Golem Temple (Normal)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/golem-temple-normal","2024-03-09T15:21:10.492Z","yes"
"Golem Temple (Heroic)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/golem-temple-heroic","2024-03-09T15:21:10.459Z","yes"
"Kingdom Heaven of Madrigal (Normal)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/kingdom-heaven-of-madrigal-normal","2024-03-09T15:21:10.577Z","yes"
"Kingdom Heaven of Madrigal (Heroic)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/kingdom-heaven-of-madrigal-heroic","2024-03-09T15:21:10.740Z","yes"
"Temple of the Deep","https://wiki.entropia.top/systems/dungeon-ranking-rewards/temple-of-the-deep","2024-03-09T15:21:10.525Z","yes"
"Destruction Cavern (Normal)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/destruction-cavern-normal","2024-03-09T15:21:10.950Z","yes"
"Destruction Cavern (Heroic)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/destruction-cavern-heroic","2024-03-09T15:21:10.950Z","yes"
"Azmore Forest (Normal)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/azmore-forest-normal","2024-03-09T15:21:10.624Z","yes"
"Azmore Forest (Heroic)","https://wiki.entropia.top/systems/dungeon-ranking-rewards/azmore-forest-heroic","2024-03-09T15:21:10.624Z","yes"
"Pirate Cave","https://wiki.entropia.top/systems/dungeon-ranking-rewards/pirate-cave","2024-03-09T15:21:10.471Z","yes"
"Umbala","https://wiki.entropia.top/systems/dungeon-ranking-rewards/umbala","2024-03-09T15:17:13.875Z","yes"
"Astral Forest","https://wiki.entropia.top/systems/dungeon-ranking-rewards/astral-forest","2024-03-09T15:17:13.875Z","yes"
"Item Lock System","https://wiki.entropia.top/systems/item-lock-system","2024-03-09T15:27:09.519Z","yes"
"Item Wiki","https://wiki.entropia.top/systems/item-wiki","2024-03-09T16:16:30.134Z","yes"
"Infinity Grid","https://wiki.entropia.top/systems/infinity-grid","2024-03-09T15:40:58.696Z","yes"
"Leveling System","https://wiki.entropia.top/systems/leveling-system","2024-03-09T16:11:52.498Z","yes"
"Vendor System, Shop Bank & Shop VIP","https://wiki.entropia.top/systems/vendor-system-shop-bank-and-shop-vip","2024-03-09T16:31:55.396Z","yes"
"Monster Clash","https://wiki.entropia.top/systems/monster-clash","2024-12-16T10:22:11.746Z","yes"
"Modelchange","https://wiki.entropia.top/systems/modelchange","2025-12-23T22:34:45.197Z","yes"
"Wardrobe System","https://wiki.entropia.top/systems/wardrobe-system","2024-03-09T16:47:14.310Z","yes"
"World Boss System","https://wiki.entropia.top/systems/world-boss-system","2024-03-09T16:57:02.541Z","yes"
"Gathering System","https://wiki.entropia.top/systems/gathering-system","2024-12-16T09:33:30.157Z","yes"
"Tool Upgrade","https://wiki.entropia.top/systems/gathering-system/tool-upgrade","2024-05-18T14:15:32.621Z","yes"
"Treasure Hunt","https://wiki.entropia.top/systems/treasure-hunt","2024-05-18T14:17:21.366Z","yes"
"Soulreaver Sacrifice","https://wiki.entropia.top/systems/soulreaver-sacrifice","2025-06-13T09:32:04.047Z","yes"
"Power-Up Macro","https://wiki.entropia.top/systems/power-up-macro","2024-03-09T17:33:52.120Z","yes"
"Adventure Pass","https://wiki.entropia.top/systems/adventure-pass","2026-02-17T17:31:02.529Z","yes"
"Fishing","https://wiki.entropia.top/systems/fishing","2024-12-28T18:10:33.328Z","yes"
"Madrigal Statue","https://wiki.entropia.top/systems/madrigal-statue","2024-12-28T19:42:26.149Z","yes"
"Card Upgrade","https://wiki.entropia.top/guides/card-upgrade","2024-03-09T17:40:11.335Z","yes"
"Upgrade Scrolls + Infinity Cards","https://wiki.entropia.top/guides/upgrade-scrolls-+-infinity-cards","2024-03-09T17:40:11.385Z","yes"
"Black Shiny Bonus Upgrade Scroll (Equipment/Weapon)","https://wiki.entropia.top/guides/upgrade-scrolls-+-infinity-cards/black-shiny-bonus-upgrade-scroll-equipment-weapon","2024-03-09T17:49:44.738Z","yes"
"Black Shiny Bonus Upgrade Scroll (Weapon Fusion)","https://wiki.entropia.top/guides/upgrade-scrolls-+-infinity-cards/black-shiny-bonus-upgrade-scroll-weapon-fusion","2024-03-09T17:49:45.070Z","yes"
"Soulreaver Bonus Upgrade Scroll (Equipment/Weapon)","https://wiki.entropia.top/guides/upgrade-scrolls-+-infinity-cards/soulreaver-bonus-upgrade-scroll-equipment-weapon","2024-03-09T17:51:03.467Z","yes"
"Bonus Transfer Card","https://wiki.entropia.top/guides/upgrade-scrolls-+-infinity-cards/bonus-transfer-card","2024-03-09T17:52:07.438Z","yes"
"Bonus Transfer Card (Fusion)","https://wiki.entropia.top/guides/upgrade-scrolls-+-infinity-cards/bonus-transfer-card-fusion","2024-03-09T17:53:32.253Z","yes"
"Awake Transfer Card","https://wiki.entropia.top/guides/upgrade-scrolls-+-infinity-cards/awake-transfer-card","2024-03-09T17:56:10.820Z","yes"
"Bonus Slot Recovery Card","https://wiki.entropia.top/guides/upgrade-scrolls-+-infinity-cards/bonus-slot-recovery-card","2024-03-09T17:56:10.903Z","yes"
"Infinity Crystal Reset Card","https://wiki.entropia.top/guides/upgrade-scrolls-+-infinity-cards/infinity-crystal-reset-card","2024-03-09T17:56:48.706Z","yes"
"Collectorfield","https://wiki.entropia.top/guides/collectorfield","2024-03-09T18:00:01.731Z","yes"
"Couple Level","https://wiki.entropia.top/guides/couple-level","2024-03-09T18:04:47.870Z","yes"
"Daily Challenge","https://wiki.entropia.top/guides/daily-challenge","2024-03-09T18:08:43.119Z","yes"
"Daily Roulette","https://wiki.entropia.top/guides/daily-roulette","2024-03-09T18:07:40.585Z","yes"
"Petfilter","https://wiki.entropia.top/guides/petfilter","2024-03-09T18:08:42.102Z","yes"
"Premium","https://wiki.entropia.top/guides/premium","2024-03-09T18:11:14.171Z","yes"
"Spirit Dice","https://wiki.entropia.top/guides/spirit-dice","2024-03-09T18:14:09.625Z","yes"
"Element & Weapon Glowchange","https://wiki.entropia.top/sets-weapons-and-items/element-and-weapon-glowchange","2023-04-29T00:12:46.000Z","yes"
"How to use the Old and New Glow?","https://wiki.entropia.top/sets-weapons-and-items/element-and-weapon-glowchange/how-to-use-the-old-and-new-glow","2023-04-20T22:38:35.000Z","yes"
"How do I get the shining effect on my weapon?","https://wiki.entropia.top/sets-weapons-and-items/element-and-weapon-glowchange/how-do-i-get-the-shining-effect-on-my-weapon","2023-04-20T22:38:50.000Z","yes"
"Fairys","https://wiki.entropia.top/sets-weapons-and-items/fairys","2023-04-26T19:26:31.000Z","yes"
"Which benefit does an Fairy have?","https://wiki.entropia.top/sets-weapons-and-items/fairys/which-benefit-does-an-fairy-have","2023-04-17T15:54:09.000Z","yes"
"How do I get an Fairy?","https://wiki.entropia.top/sets-weapons-and-items/fairys/how-do-i-get-an-fairy","2023-04-29T00:13:09.000Z","yes"
"How do I feed my Fairy?","https://wiki.entropia.top/sets-weapons-and-items/fairys/how-do-i-feed-my-fairy","2023-04-17T15:56:13.000Z","yes"
"My Fairy died, what now?","https://wiki.entropia.top/sets-weapons-and-items/fairys/my-fairy-died-what-now","2023-04-17T15:55:52.000Z","yes"
"Astral Fairy","https://wiki.entropia.top/sets-weapons-and-items/fairys/astral-fairy","2024-12-29T21:44:31.235Z","yes"
"Fashion Combine","https://wiki.entropia.top/sets-weapons-and-items/fashion-combine","2023-04-26T19:26:48.000Z","yes"
"What do I need to combine my CS Set?","https://wiki.entropia.top/sets-weapons-and-items/fashion-combine/what-do-i-need-to-combine-my-cs-set","2023-04-29T00:13:51.000Z","yes"
"How do I combine my costume?","https://wiki.entropia.top/sets-weapons-and-items/fashion-combine/how-do-i-combine-my-costume","2023-04-29T00:14:15.000Z","yes"
"Fashion Upgrade","https://wiki.entropia.top/sets-weapons-and-items/fashion-upgrade","2024-03-05T19:56:13.583Z","yes"
"Fashion Location","https://wiki.entropia.top/sets-weapons-and-items/fashion-location","2024-03-05T19:56:14.041Z","yes"
"Gaia Set Extension","https://wiki.entropia.top/sets-weapons-and-items/gaia-set-extension","2024-03-06T21:59:41.607Z","yes"
"Gaia Set Exchange","https://wiki.entropia.top/sets-weapons-and-items/gaia-set-extension/gaia-set-exchange","2023-04-20T22:43:13.000Z","yes"
"What are the effects of a Gaia Fashion Set?","https://wiki.entropia.top/sets-weapons-and-items/gaia-set-extension/what-are-the-effects-of-a-gaia-fashion-set","2023-04-17T19:49:48.000Z","yes"
"Glow Change","https://wiki.entropia.top/sets-weapons-and-items/glow-change","2023-04-29T00:15:37.000Z","yes"
"Merge System","https://wiki.entropia.top/sets-weapons-and-items/merge-system","2023-04-26T19:19:54.000Z","yes"
"How do I Merge a Black Shiny Equipment?","https://wiki.entropia.top/sets-weapons-and-items/merge-system/how-do-i-merge-a-black-shiny-equipment","2024-03-14T16:01:23.938Z","yes"
"How do I Merge a Black Weapon?","https://wiki.entropia.top/sets-weapons-and-items/merge-system/how-do-i-merge-a-black-weapon","2023-04-29T00:16:13.000Z","yes"
"How do I Merge a Soulreaver Equipment?","https://wiki.entropia.top/sets-weapons-and-items/merge-system/how-do-i-merge-a-soulreaver-equipment","2023-04-20T22:47:18.000Z","yes"
"How do I Merge a Soulreaver Weapon?","https://wiki.entropia.top/sets-weapons-and-items/merge-system/how-do-i-merge-a-soulreaver-weapon","2023-04-20T22:49:12.000Z","yes"
"Ultimate Items","https://wiki.entropia.top/sets-weapons-and-items/ultimate-items","2024-12-16T10:02:11.683Z","yes"
"How can I get Ultimate Entropia Items?","https://wiki.entropia.top/sets-weapons-and-items/ultimate-items/how-can-i-get-ultimate-entropia-items","2024-12-16T15:31:56.139Z","yes"
"Ultimate Glyph","https://wiki.entropia.top/sets-weapons-and-items/ultimate-items/ultimate-glyph","2023-04-29T00:17:45.000Z","yes"
"Ultimate Powerup","https://wiki.entropia.top/sets-weapons-and-items/ultimate-items/ultimate-powerup","2023-04-29T00:17:27.000Z","yes"
"Ultimate Fairy","https://wiki.entropia.top/sets-weapons-and-items/ultimate-items/ultimate-fairy","2023-04-29T00:17:45.000Z","yes"
"Ultimate Fashion","https://wiki.entropia.top/sets-weapons-and-items/ultimate-items/ultimate-fashion","2023-04-29T00:18:02.000Z","yes"
"Ultimate Balloon","https://wiki.entropia.top/sets-weapons-and-items/ultimate-items/ultimate-balloon","2024-12-16T10:03:14.922Z","yes"
"Ultimate Wing Aura","https://wiki.entropia.top/sets-weapons-and-items/ultimate-items/ultimate-wing-aura","2024-12-16T10:02:11.683Z","yes"
"Ultimate Cloak + Mask","https://wiki.entropia.top/sets-weapons-and-items/ultimate-items/ultimate-cloak-+-mask","2023-04-29T00:18:28.000Z","yes"
"Omega Cloak + Mask","https://wiki.entropia.top/sets-weapons-and-items/ultimate-items/omega-cloak-+-mask","2024-12-16T10:02:11.465Z","yes"
"Omega Astral Stones","https://wiki.entropia.top/sets-weapons-and-items/ultimate-items/omega-astral-stones","2024-12-16T10:05:33.739Z","yes"
"How can I make an Omega set and where can I get the stuff?","https://wiki.entropia.top/sets-weapons-and-items/ultimate-items/how-can-i-make-an-omega-set-and-where-can-i-get-the-stuff","2023-04-29T00:19:03.000Z","yes"
"Upgrade System","https://wiki.entropia.top/sets-weapons-and-items/upgrade-system","2023-04-29T00:19:39.000Z","yes"
"Power-Ups","https://wiki.entropia.top/sets-weapons-and-items/power-ups","2023-06-20T22:17:43.000Z","yes"
"Weapon Fusion","https://wiki.entropia.top/sets-weapons-and-items/weapon-fusion","2023-04-26T19:11:30.000Z","yes"
"Where can I find the Weapon fusion Npc?","https://wiki.entropia.top/sets-weapons-and-items/weapon-fusion/where-can-i-find-the-weapon-fusion-npc","2023-04-29T00:20:13.000Z","yes"
"Two Handed Weapon Fusion","https://wiki.entropia.top/sets-weapons-and-items/weapon-fusion/two-handed-weapon-fusion","2023-04-29T00:20:13.000Z","yes"
"Cancel a Fusion","https://wiki.entropia.top/sets-weapons-and-items/weapon-fusion/cancel-a-fusion","2023-04-29T00:20:25.000Z","yes"
"Royal Equipment","https://wiki.entropia.top/sets-weapons-and-items/royal-equipment","2023-04-26T18:47:42.000Z","yes"
"Royal Reroll","https://wiki.entropia.top/sets-weapons-and-items/royal-equipment/royal-reroll","2023-04-29T00:20:42.000Z","yes"
"Royal Upgrading","https://wiki.entropia.top/sets-weapons-and-items/royal-equipment/royal-upgrading","2023-04-21T00:29:25.000Z","yes"
"Royal Bonus Values (Below you can choose the classes):","https://wiki.entropia.top/sets-weapons-and-items/royal-equipment/royal-bonus-values-below-you-can-choose-the-classes","2023-04-17T16:02:36.000Z","yes"
"Required Royal Upgrade Material:","https://wiki.entropia.top/sets-weapons-and-items/royal-equipment/required-royal-upgrade-material","2025-06-21T10:41:42.719Z","yes"
"Royal Beads","https://wiki.entropia.top/sets-weapons-and-items/royal-beads","2023-04-26T18:44:23.000Z","yes"
"Beads","https://wiki.entropia.top/sets-weapons-and-items/royal-beads/beads","2023-04-18T18:06:18.000Z","yes"
"Guild Buff System","https://wiki.entropia.top/guildwar-and-rumble/guild-buff-system","2023-04-29T00:21:15.000Z","yes"
"Quality of Life","https://wiki.entropia.top/guildwar-and-rumble/guild-buff-system/quality-of-life","2023-04-29T00:21:33.000Z","yes"
"Guild Siege","https://wiki.entropia.top/guildwar-and-rumble/guild-siege","2024-12-16T10:24:03.182Z","yes"
"Battleground Siege","https://wiki.entropia.top/guildwar-and-rumble/guild-siege/battleground-siege","2024-12-16T10:23:08.035Z","yes"
"PvP Rumble","https://wiki.entropia.top/guildwar-and-rumble/pvp-rumble","2023-04-26T18:41:20.000Z","yes"
"Battleground Mode","https://wiki.entropia.top/guildwar-and-rumble/pvp-rumble/battleground-mode","2023-04-27T15:37:48.000Z","yes"
"Other","https://wiki.entropia.top/custom-content/other","2023-04-17T21:02:39.000Z","yes"
"Starter Dungeons","https://wiki.entropia.top/custom-content/other/starter-dungeons","2023-04-17T20:26:28.000Z","yes"
"Kalgas Cave","https://wiki.entropia.top/custom-content/other/starter-dungeons/kalgas-cave","2023-04-26T02:26:04.000Z","yes"
"Ankou's Asylum","https://wiki.entropia.top/custom-content/other/starter-dungeons/ankous-asylum","2023-04-26T02:26:18.000Z","yes"
"Aminus/Cursed Aminus","https://wiki.entropia.top/custom-content/other/starter-dungeons/aminus-cursed-aminus","2023-04-26T02:26:32.000Z","yes"
"Catacombs","https://wiki.entropia.top/custom-content/other/starter-dungeons/catacombs","2023-04-26T02:26:45.000Z","yes"
"Wilds/Savage Wilds","https://wiki.entropia.top/custom-content/other/starter-dungeons/wilds-savage-wilds","2023-04-26T02:26:55.000Z","yes"
"Venux","https://wiki.entropia.top/custom-content/other/venux","2023-04-26T18:33:42.000Z","yes"
"Exchange Prices","https://wiki.entropia.top/custom-content/other/venux/exchange-prices","2023-04-21T01:15:10.000Z","yes"
"Kanto","https://wiki.entropia.top/custom-content/other/kanto","2023-04-26T18:35:37.000Z","yes"
"Interactive Objects","https://wiki.entropia.top/custom-content/other/kanto/interactive-objects","2023-04-17T21:54:19.000Z","yes"
"Items","https://wiki.entropia.top/custom-content/other/kanto/items","2023-04-17T21:50:14.000Z","yes"
"Collectible Items","https://wiki.entropia.top/custom-content/other/kanto/collectible-items","2023-04-17T21:50:14.000Z","yes"
"Control Items","https://wiki.entropia.top/custom-content/other/kanto/control-items","2023-04-17T21:49:34.000Z","yes"
"Quest Items","https://wiki.entropia.top/custom-content/other/kanto/quest-items","2023-04-17T21:47:57.000Z","yes"
"Locations","https://wiki.entropia.top/custom-content/other/kanto/locations","2023-04-17T21:22:29.000Z","yes"
"Pallet Town","https://wiki.entropia.top/custom-content/other/kanto/pallet-town","2023-04-17T21:21:50.000Z","yes"
"Gaia Forest","https://wiki.entropia.top/custom-content/other/gaia-forest","2023-04-26T02:10:05.000Z","yes"
"Eden","https://wiki.entropia.top/custom-content/other/eden","2023-04-26T18:34:22.000Z","yes"
"Eden Exchange List","https://wiki.entropia.top/custom-content/other/eden/eden-exchange-list","2023-04-21T01:14:03.000Z","yes"
"Rhisis Trail","https://wiki.entropia.top/custom-content/other/rhisis-trail","2023-04-26T02:10:05.000Z","yes"
"Golem Temple","https://wiki.entropia.top/custom-content/other/golem-temple","2023-04-26T02:10:05.000Z","yes"
"Heaven of Madrigal","https://wiki.entropia.top/custom-content/other/heaven-of-madrigal","2023-04-26T02:02:02.000Z","yes"
"Shiny","https://wiki.entropia.top/custom-content/shiny","2024-03-05T19:56:13.882Z","yes"
"Les Britannia","https://wiki.entropia.top/custom-content/shiny/les-britannia","2024-03-05T19:56:14.133Z","yes"
"Black","https://wiki.entropia.top/custom-content/black","2024-03-09T18:14:09.625Z","yes"
"Kebaria","https://wiki.entropia.top/custom-content/black/kebaria","2023-04-26T02:12:27.000Z","yes"
"Exchange List","https://wiki.entropia.top/custom-content/black/kebaria/exchange-list","2023-04-21T17:04:32.000Z","yes"
"Aurania","https://wiki.entropia.top/custom-content/black/aurania","2023-05-07T02:13:01.000Z","yes"
"Exchange List","https://wiki.entropia.top/custom-content/black/aurania/exchange-list","2023-04-21T18:26:41.000Z","yes"
"How to upgrade your jewelry","https://wiki.entropia.top/custom-content/black/aurania/how-to-upgrade-your-jewelry","2023-04-21T01:33:08.000Z","yes"
"Aurania Temple","https://wiki.entropia.top/custom-content/black/aurania/aurania-temple","2023-04-26T02:03:33.000Z","yes"
"Dark Forest","https://wiki.entropia.top/custom-content/black/aurania/dark-forest","2023-04-26T02:14:16.000Z","yes"
"Mystic Valley","https://wiki.entropia.top/custom-content/black/aurania/mystic-valley","2023-04-26T02:03:33.000Z","yes"
"Crystal Cave","https://wiki.entropia.top/custom-content/black/aurania/crystal-cave","2023-04-26T02:03:33.000Z","yes"
"Soulreaver","https://wiki.entropia.top/custom-content/soulreaver","2023-04-19T01:14:01.000Z","yes"
"Trigrem","https://wiki.entropia.top/custom-content/soulreaver/trigrem","2023-04-19T00:35:32.000Z","yes"
"Exchange List","https://wiki.entropia.top/custom-content/soulreaver/trigrem/exchange-list","2023-04-21T17:03:32.000Z","yes"
"Trigrem Ruins","https://wiki.entropia.top/custom-content/soulreaver/trigrem/trigrem-ruins","2023-04-28T16:32:21.000Z","yes"
"Ethral","https://wiki.entropia.top/custom-content/soulreaver/ethral","2023-04-19T00:31:20.000Z","yes"
"Exchange List","https://wiki.entropia.top/custom-content/soulreaver/ethral/exchange-list","2023-04-19T00:34:59.000Z","yes"
"Ethral Garden","https://wiki.entropia.top/custom-content/soulreaver/ethral/ethral-garden","2023-04-28T16:33:03.000Z","yes"
"Royal","https://wiki.entropia.top/custom-content/royal","2025-01-14T10:03:02.308Z","yes"
"Cardia","https://wiki.entropia.top/custom-content/royal/cardia","2024-12-16T16:59:41.194Z","yes"
"What is Cardia?","https://wiki.entropia.top/custom-content/royal/cardia/what-is-cardia","2024-12-16T16:59:41.052Z","yes"
"Destruction Cavern","https://wiki.entropia.top/custom-content/royal/cardia/destruction-cavern","2024-12-28T18:36:25.920Z","yes"
"Heroic Destrucion Cavern","https://wiki.entropia.top/custom-content/royal/cardia/destruction-cavern/heroic-destrucion-cavern","2024-12-29T23:10:02.660Z","yes"
"Azmore Forest","https://wiki.entropia.top/custom-content/royal/cardia/azmore-forest","2024-12-29T17:53:31.521Z","yes"
